file,original pragma version,compiled version,notes
ContextUpgradeable_12.sol,^0.8.0,0.8.0,
IGenericHandler_8.sol,0.8.2,0.8.2,
IERC20Upgradeable_8.sol,0.8.2,0.8.2,
IERC165Upgradeable_10.sol,^0.8.0,0.8.0,
StringsUpgradeable.sol,^0.8.0,0.8.0,
IUniswapV2Exchange.sol,^0.8.0,0.8.0,
ERC165Upgradeable_14.sol,^0.8.0,0.8.0,
StringsUpgradeable_13.sol,^0.8.0,0.8.0,
ERC20Upgradeable_3.sol,^0.8.0,0.8.0,
console.sol,>= 0.4.22 <0.9.0,0.4.22,
SafeMathUpgradeable_1.sol,^0.8.0,0.8.0,
UUPSUpgradeable_10.sol,^0.8.0,0.8.0,
GenericHandlerUpgradeable_1.sol,^0.8.2,0.8.2,
TransferHelper.sol,>=0.5.16,0.5.16,
IERCHandlerDecimals_6.sol,0.8.2,0.8.2,
Initializable_7.sol,^0.8.0,0.8.0,
IERC20Upgradeable_13.sol,0.8.2,0.8.2,
VoterUpgradeable.sol,0.8.2,0.8.2,
PausableUpgradeable_6.sol,^0.8.0,0.8.0,
IWETH_4.sol,>=0.8.2,0.8.2,
IOneSplitWrap.sol,>=0.8.2,0.8.2,
StorageSlotUpgradeable_6.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_14.sol,^0.8.0,0.8.0,
ERC165Upgradeable_7.sol,^0.8.0,0.8.0,
Initializable_12.sol,^0.8.0,0.8.0,
CountersUpgradeable.sol,^0.8.0,0.8.0,
ContextUpgradeable_6.sol,^0.8.0,0.8.0,
IERCHandler_5.sol,0.8.2,0.8.2,
AddressUpgradeable_14.sol,^0.8.0,0.8.0,
AddressUpgradeable_15.sol,^0.8.0,0.8.0,
IERCHandler_4.sol,0.8.2,0.8.2,
ContextUpgradeable_7.sol,^0.8.0,0.8.0,
ERC165Upgradeable_6.sol,^0.8.0,0.8.0,
Initializable_13.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_15.sol,^0.8.0,0.8.0,
SafeERC20Upgradeable_1.sol,^0.8.0,0.8.0,
StorageSlotUpgradeable_7.sol,^0.8.0,0.8.0,
ERC20HandlerUpgradeable_1.sol,>=0.8.2,0.8.2,
IWETH_5.sol,>=0.8.2,0.8.2,
BridgeUpgradeable_1.sol,0.8.2,0.8.2,
IFeeManager_1.sol,>=0.8.2,0.8.2,
PausableUpgradeable_7.sol,^0.8.0,0.8.0,
IERC20Upgradeable_12.sol,0.8.2,0.8.2,
ERC165Upgradeable.sol,^0.8.0,0.8.0,
Initializable_6.sol,^0.8.0,0.8.0,
Initializable_4.sol,^0.8.0,0.8.0,
IERC20Upgradeable_10.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_9.sol,^0.8.0,0.8.0,
PausableUpgradeable_5.sol,^0.8.0,0.8.0,
IWETH_7.sol,>=0.8.2,0.8.2,
BridgeUpgradeable_3.sol,0.8.2,0.8.2,
StorageSlotUpgradeable_5.sol,^0.8.0,0.8.0,
IERC20MetadataUpgradeable.sol,^0.8.0,0.8.0,
IDepositExecute_9.sol,0.8.2,0.8.2,
SafeERC20Upgradeable_3.sol,^0.8.0,0.8.0,
IGenericHandler.sol,0.8.2,0.8.2,
Initializable_11.sol,^0.8.0,0.8.0,
ERC165Upgradeable_4.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_17.sol,^0.8.0,0.8.0,
IERCHandler_6.sol,0.8.2,0.8.2,
ContextUpgradeable_5.sol,^0.8.0,0.8.0,
VoterUpgradeable_1.sol,0.8.2,0.8.2,
AddressUpgradeable_17.sol,^0.8.0,0.8.0,
StringsUpgradeable_9.sol,^0.8.0,0.8.0,
StringsUpgradeable_8.sol,^0.8.0,0.8.0,
UniversalERC20.sol,^0.8.0,0.8.0,
AddressUpgradeable_16.sol,^0.8.0,0.8.0,
ContextUpgradeable_4.sol,^0.8.0,0.8.0,
IERCHandler_7.sol,0.8.2,0.8.2,
AccessControlUpgradeable_16.sol,^0.8.0,0.8.0,
Initializable_10.sol,^0.8.2,0.8.2,
ERC165Upgradeable_5.sol,^0.8.0,0.8.0,
SafeERC20Upgradeable_2.sol,^0.8.0,0.8.0,
IDepositExecute_8.sol,0.8.2,0.8.2,
StorageSlotUpgradeable_4.sol,^0.8.0,0.8.0,
HandlerHelpersUpgradeable_1.sol,>=0.8.2,0.8.2,
BridgeUpgradeable_2.sol,0.8.2,0.8.2,
IWETH_6.sol,^0.8.0,0.8.0,
PausableUpgradeable_4.sol,^0.8.0,0.8.0,
ISequencerHandler.sol,^0.8.2,0.8.2,
AccessControlUpgradeable_8.sol,^0.8.0,0.8.0,
IERC20Upgradeable_11.sol,^0.8.0,0.8.0,
Initializable_5.sol,^0.8.0,0.8.0,
IERC20Upgradeable_15.sol,^0.8.0,0.8.0,
IOneSplitWrap_1.sol,>=0.8.2,0.8.2,
Initializable_1.sol,^0.8.0,0.8.0,
IWETH_2.sol,>=0.8.2,0.8.2,
BridgeUpgradeable_6.sol,0.8.2,0.8.2,
IFeeManagerGeneric.sol,>=0.8.2,0.8.2,
ERC165Upgradeable_1.sol,^0.8.0,0.8.0,
Initializable_14.sol,^0.8.0,0.8.0,
SafeERC20Upgradeable.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_12.sol,^0.8.0,0.8.0,
AddressUpgradeable_12.sol,^0.8.0,0.8.0,
IERCHandler_3.sol,0.8.2,0.8.2,
IAccessControlUpgradeable_8.sol,^0.8.0,0.8.0,
ContextUpgradeable_1.sol,^0.8.0,0.8.0,
IERCHandler_2.sol,0.8.2,0.8.2,
IAccessControlUpgradeable_9.sol,^0.8.0,0.8.0,
AddressUpgradeable_13.sol,^0.8.0,0.8.0,
MathUpgradeable.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_13.sol,^0.8.0,0.8.0,
Initializable_15.sol,^0.8.0,0.8.0,
StorageSlotUpgradeable_1.sol,^0.8.0,0.8.0,
AddressUpgradeable.sol,^0.8.0,0.8.0,
UUPSUpgradeable.sol,^0.8.0,0.8.0,
UsdcMinter.sol,0.8.2,0.8.2,
PausableUpgradeable_1.sol,^0.8.0,0.8.0,
IWETH_3.sol,>=0.8.2,0.8.2,
IERC20Upgradeable_14.sol,^0.8.0,0.8.0,
IERC20Upgradeable_16.sol,0.8.2,0.8.2,
Initializable_2.sol,^0.8.0,0.8.0,
IOneSplitWrap_2.sol,>=0.8.2,0.8.2,
BridgeUpgradeable_5.sol,0.8.2,0.8.2,
IWETH_1.sol,>=0.8.2,0.8.2,
PausableUpgradeable_3.sol,^0.8.0,0.8.0,
IERC20_1.sol,^0.8.0,0.8.0,
StorageSlotUpgradeable_3.sol,^0.8.0,0.8.0,
IBeaconUpgradeable_11.sol,^0.8.0,0.8.0,
SequencerHandlerUpgradeable.sol,^0.8.2,0.8.2,
AccessControlUpgradeable_11.sol,^0.8.0,0.8.0,
Initializable_17.sol,^0.8.0,0.8.0,
ERC165Upgradeable_2.sol,^0.8.0,0.8.0,
HandlerReserveUpgradeable.sol,>=0.8.2,0.8.2,
AddressUpgradeable_11.sol,^0.8.0,0.8.0,
ContextUpgradeable_3.sol,^0.8.0,0.8.0,
IERC20Upgradeable.sol,^0.8.0,0.8.0,
CountersUpgradeable_1.sol,^0.8.0,0.8.0,
IERCHandler_1.sol,0.8.2,0.8.2,
ContextUpgradeable_2.sol,^0.8.0,0.8.0,
AddressUpgradeable_10.sol,^0.8.1,0.8.1,
Initializable_16.sol,^0.8.0,0.8.0,
ERC165Upgradeable_3.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_10.sol,^0.8.0,0.8.0,
IBeaconUpgradeable_10.sol,^0.8.0,0.8.0,
SafeERC20Upgradeable_4.sol,^0.8.0,0.8.0,
iGBridge.sol,0.8.2,0.8.2,
StorageSlotUpgradeable_2.sol,^0.8.0,0.8.0,
PausableUpgradeable_2.sol,^0.8.0,0.8.0,
BridgeUpgradeable_4.sol,0.8.2,0.8.2,
ILiquidityPool_8.sol,>=0.8.2,0.8.2,
StorageSlotUpgradeable.sol,^0.8.0,0.8.0,
Initializable_3.sol,^0.8.0,0.8.0,
IERC20Upgradeable_17.sol,0.8.2,0.8.2,
