Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0x6556f0936ac7a6a72a626614aac5444f4fc63037, 2300, 159, 155, 4, 0, 159, 0, 0, 1.0, 45853, ss: 17 sss: 32 
0x5609b3debc687287ea5f082c1bb5281bd28ea1f6, 1515, 107, 104, 3, 0, 107, 0, 0, 1.0, 4096, ss: 17 sss: 32 
0x14abed2dd5fb0390a98653e9079059cf19c1f4c2, 1384, 110, 109, 1, 0, 110, 0, 0, 1.0, 7842, ss: 17 sss: 32 
0x44b3e901e18dd4be9de6d41b28eb7341355722bb, 1520, 107, 104, 3, 0, 107, 0, 0, 1.0, 4378, ss: 17 sss: 32 
0xa4EcD076E956Fde75b83fC75E62DA9002E321828, 2761, 263, 216, 47, 0, 263, 0, 0, 1.0, 10721, ss: 17 sss: 32 
0x22c5ff2999bd728eaa91f8a25e9515adec2ee20a, 1374, 108, 106, 2, 0, 108, 0, 0, 1.0, 7215, ss: 17 sss: 32 
0x4822D77A2D328115C4edEbe1c82F313b28f8c315, 882, 61, 61, 0, 0, 61, 0, 1, 1.0, 5046, ss: 17 sss: 32 
0xbcf08597eceb2bcf012480e15d9c04f3861fbe89, 1923, 147, 146, 1, 0, 147, 0, 0, 1.0, 19155, ss: 17 sss: 32 
0x172A744e27B1Eb58BeCC028Ce7294Fd3e685A2Ae, 1355, 120, 118, 2, 0, 120, 0, 0, 1.0, 4818, ss: 17 sss: 32 
0x00000000006756ce25b95124e0FC879Cc2B7F1DA, 1686, 164, 164, 0, 0, 164, 0, 0, 1.0, 8860, ss: 17 sss: 32 
0xd8e4ab3ac0d5376e6c3a3a7dd43eda557529a848, 1487, 103, 100, 3, 0, 103, 0, 0, 1.0, 8191, ss: 17 sss: 32 
0xc5f744fec2f357d3ba2f8f67f0c7cc5ecf8bdc93, 1614, 115, 113, 2, 0, 115, 0, 0, 1.0, 14518, ss: 17 sss: 32 
0xe532ee26641438c24a5409cdd5a707731052d8e5, 980, 38, 35, 3, 0, 38, 0, 0, 1.0, 509, ss: 17 sss: 32 
0xcfa1bd6f5131f4f99f1d276d2de3fe7bf224a80c, 1507, 107, 104, 3, 0, 107, 0, 0, 1.0, 4270, ss: 17 sss: 32 
0x2A078B1EcCAC2f4BFA1858E611EA360206dcE39c, 1759, 127, 121, 6, 0, 127, 0, 0, 1.0, 12166, ss: 17 sss: 32 
0x93dc5df459e381084e700de541b42d76b293c7b3, 1513, 107, 104, 3, 0, 107, 0, 0, 1.0, 4402, ss: 17 sss: 32 
0x26391e51c32bd18f43df3678df87d5510d43ee36, 631, 36, 36, 0, 0, 36, 0, 0, 1.0, 2029, ss: 17 sss: 32 
0x24aBa5d98c4aCC4f7504Fa1Acc46e6304d9fFa73, 1922, 173, 149, 24, 0, 173, 0, 0, 1.0, 8438, ss: 17 sss: 32 
0x39bfC76cf7dd2c7B9F666E089e70D68D39D041E4, 588, 34, 34, 0, 0, 34, 0, 0, 1.0, 260, ss: 17 sss: 32 
0xe2074c4a5772a650fb47cb97a182b87fa4ccc793, 1815, 131, 129, 2, 0, 131, 0, 0, 1.0, 16700, ss: 17 sss: 32 
0xcF94343ec07DD2aFfb5ED3126C6d495464026C73, 2958, 275, 235, 40, 0, 275, 0, 0, 1.0, 37315, ss: 17 sss: 32 
0x49bfb6322600eac78b81e650e7b9329b613e38b8, 1503, 107, 104, 3, 0, 107, 0, 0, 1.0, 3915, ss: 17 sss: 32 
0x5CDE9fec66D89B931fB7a5DB8cFf2cDb642f4e7d, 801, 68, 64, 4, 0, 68, 0, 0, 1.0, 225, ss: 17 sss: 32 
